商品编码,品名,划线价,销售价,税费,利润,高级会员,蓝钻会员,红钻
HH00000274,英国Tangle ANGEL天使美发梳中号（石墨黑）,,97.86,9.86,32.14,0.32,0.64,0.96
HH00000275,英国Tangle ANGEL天使美发梳中号（紫色）,,97.86,9.86,32.14,0.32,0.64,0.96
HH00000276,英国Tangle ANGEL天使美发梳中号（紫红色）,,97.86,9.86,32.14,0.32,0.64,0.96
zrhz1000211,韩国Holika惑丽客猪鼻贴10片装,,108.98,10.98,22.48,0.22,0.45,0.67
HH00000277,英国Tangle ANGEL天使美发梳中号（橘色）,,97.86,9.86,32.14,0.32,0.64,0.96
HH00000278,英国Tangle ANGEL天使美发梳中号（石松绿）,,97.86,9.86,32.14,0.32,0.64,0.96
HH00000281,日本SK-II 温和氨基酸洁面乳120g,,431.46,43.46,68.66,0.69,1.37,2.06
HH00000282,美国Earth Mama Angel Baby/地球妈妈天使宝宝 护臀霜 60ml,,120.1,12.1,39.18,0.18,0.35,0.53
HH00000283,美国Aveeno艾维诺燕麦润肤霜141g 深蓝,,64.5,6.5,9.3,0.09,0.19,0.28
HH00000284,韩国papa recipe春雨粉色玫瑰面膜 5片/盒,,94.52,9.52,26.4,0.26,0.53,0.79
HH00000285,德国Zirkulin/哲库林 无糖型蜂胶润喉止咳糖 30粒/盒,,72.28,7.28,26.05,0.26,0.52,0.78
HH00000286,德国Penaten贝娜婷婴幼儿护肤霜 面霜100ml,,68.94,6.94,21.99,0.22,0.44,0.66
HH00000288,法国LANCOME兰蔻 新清滢嫩肤水400ml 蓝水,,328.04,33.04,42.49,0.42,0.85,1.27
HH00000290,美国Maybelline/美宝莲 橡皮擦遮瑕笔120# 6ml,,94.52,9.52,11.1,0.11,0.22,0.33
HH00000292,日本Quality First/皇后的秘密 收缩毛孔面膜 5片,,83.4,8.4,38.06,0.38,0.76,1.14
zrrh1000039,澳洲Goat原味沐浴露 500ml,,83.4,8.4,29.9,0.3,0.6,0.9
HH00000126,澳大利亚Sukin苏芊保湿修复晚霜 120ml,,108.98,10.98,42.28,0.42,0.85,1.27
HH00000016,日本Okamoto冈本002避孕套超薄大码安全套6只装,,83.4,8.4,49.07,0.49,0.98,1.47
zrhz1000146,韩国Innisfree悦诗风吟火山泥毛孔清洁面膜100ml,,105.64,10.64,21.89,0.22,0.44,0.66
HH00000294,澳洲 freeze frame 眼霜15ml,,254.65,25.65,52.19,0.52,1.04,1.57
HH00000295,澳洲freeze frame 丰胸霜100ml,,265.77,26.77,59.92,0.6,1.2,1.8
HH00000296,澳洲 NAIR脱毛膏 150g,,75.62,7.62,23.37,0.23,0.47,0.7
HH00000297,日本 CANMAKE井田花瓣雕刻五色腮红1#桃花芙蓉 4g,,94.52,9.52,27.54,0.28,0.55,0.83
HH00000301,日本KAO花王蒸汽腰腹热敷贴暖宫贴痛经贴5片装,,57.82,5.82,10.7,0.11,0.21,0.32
zrhz1000122,法国YSL圣罗兰镜光纯色唇釉 12#,,298.02,30.02,62.64,0.63,1.25,1.88
zrrh1000076,阿迪达斯男士冰点香水100ML,,73.39,7.39,21.21,0.21,0.42,0.64
HH00000303,日本KIRIBAI桐灰改善腰部血流蒸汽热帖腰贴 10片/盒,,75.62,7.62,13.17,0.13,0.26,0.4
HH00000304,日本PITTA MASK 口罩 白色 3片/包,,64.5,6.5,24.81,0.25,0.5,0.74
HH00000305,日本SANTEN-FX参天玫瑰Beauteye眼药水12ml,,120.1,12.1,37.57,0.38,0.75,1.13
HH00000306,日本Goo.n/大王 防雾霾PM2.5口罩 成人通用款 7枚装,,38.92,3.92,11.5,0.12,0.23,0.35
HH00000307,日本Goo.n/大王 防雾霾PM2.5口罩 儿童款 7枚装,,38.92,3.92,10.9,0.11,0.22,0.33
HH00000308,日本Goo.n/大王 防雾霾PM2.5口罩 女性款 7枚装,,38.92,3.92,11.5,0.12,0.23,0.35
HH00000310,日本PITTA MASK 儿童口罩 男孩（蓝色+灰色+绿色）3枚/袋,,64.5,6.5,16.66,0.17,0.33,0.5
HH00000311,日本PITTA MASK 儿童口罩 女孩（粉色+黄色+蓝色）3枚/袋,,64.5,6.5,16.66,0.17,0.33,0.5
HH00000313,日本kracie嘉娜宝肌美精保湿收缩毛孔黑面膜 黑色 4片装,,66.72,6.72,21.88,0.22,0.44,0.66
HH00000098,泰国 Mistine红管眼线笔,,72.28,7.28,30.33,0.3,0.61,0.91
zrhz1000173,法国LANCOME兰蔻新水份缘保湿舒缓啫喱200ml,,283.56,28.56,44.21,0.44,0.88,1.33
HH00000314,日本山本汉方 大麦若叶青汁粉末 44袋装,,83.4,8.4,11.89,0.12,0.24,0.36
HH00000315,韩国it's skin伊思红参蜗牛滚珠眼霜15ml 2支装,,197.94,19.94,44.1,0.44,0.88,1.32
HH00000316,泰国Beauty Buffet牛奶美白洗面奶100ml 2支装,,54.49,5.49,17.16,0.17,0.34,0.51
HH00000317,韩国Dr.jart+蒂佳婷灰色药丸面膜5片/盒,,86.74,8.74,17.62,0.18,0.35,0.53
HH00000318,澳洲G&M绵羊油护手霜100g,,43.37,4.37,15.55,0.16,0.31,0.47
HH00000319,德国balea芭乐雅 7天焕肤玻尿酸浓缩精华安瓶,,75.62,7.62,20.45,0.2,0.41,0.61
HH00000320,日本Kose高丝维他命C美白面膜5片/盒,,72.28,7.28,21.15,0.21,0.42,0.63
HH00000321,AHC 玻尿酸神仙水乳套装,,186.82,18.82,31.28,0.31,0.63,0.94
HH00000322,澳洲Nutrition care 养胃粉150g,,220.18,22.18,68.73,0.69,1.37,2.06
HH00000324,法国Bioderma贝德玛卸妆水500ml蓝水,,120.1,12.1,28.06,0.28,0.56,0.84
HH00000326,日本KAO花王油污清洗剂泡沫型400ml 2瓶装,,83.4,8.4,16.98,0.17,0.34,0.51
zrrh1000042,澳洲Morning Fresh洗洁精澳橙茶树味400ml,,38.92,3.92,18.37,0.18,0.37,0.55
ZRMYYP100043,日本VAPE hello kitty驱蚊手表60日份,,142.34,14.34,42.19,0.42,0.84,1.27
zrbj000011,德国Doppelherz双心银杏叶精华胶囊40粒,,94.52,9.52,21.53,0.22,0.43,0.65
zrbj000021,美国Childlife童年时光维生素C补充液118.5ml ,,97.86,9.86,52.7,0.53,1.05,1.58
HH00000013,日本膳魔师THERMOS真空超轻保温杯JNL-502-SBR玫红500ml,,220.18,22.18,37.48,0.37,0.75,1.12
zrbj000042,美国Childlife童年时光纯净DHA胶囊益智补脑浆果风味90粒,,105.64,10.64,48.44,0.48,0.97,1.45
zrhz1000086,日本Loshi北海道马油 身体乳 485ml,,53.38,5.38,12.86,0.13,0.26,0.39
HH00000330,法国兰蔻Lancome 小黑瓶 精华肌底液100ml,,998.58,100.58,130.18,1.3,2.6,3.91
HH00000331,法国兰蔻Lancome 小黑瓶 升级精华肌底液50ml,,695,70,89.77,0.9,1.8,2.69
HH00000333,花王Curel珂润眼部保湿美容液紧致眼霜20g,,175.7,17.7,38.78,0.39,0.78,1.16
zrhz1000054,荷兰Jacob Hooy雅歌布玫瑰水500ml,,83.4,8.4,34.14,0.34,0.68,1.02
HH00000335,新西兰 Read Seal红印小苏打牙膏100G ,,42.26,4.26,19.57,0.2,0.39,0.59
